page_load_time;1-impatient;2;3;4;5-patient
0;100.0;100.0;100.0;100.0;100.0
20;100.0;100.0;100.0;100.0;100.0
40;100.0;100.0;100.0;100.0;100.0
60;100.0;100.0;100.0;100.0;100.0
80;100.0;100.0;100.0;100.0;100.0
100;100.0;100.0;100.0;100.0;100.0
120;100.0;100.0;100.0;100.0;100.0
140;100.0;100.0;100.0;100.0;100.0
160;100.0;100.0;100.0;100.0;100.0
180;100.0;100.0;100.0;100.0;100.0
200;100.0;100.0;100.0;100.0;100.0
220;100.0;100.0;100.0;100.0;100.0
240;100.0;100.0;100.0;100.0;100.0
260;100.0;100.0;100.0;100.0;100.0
280;100.0;100.0;100.0;100.0;100.0
300;100.0;100.0;100.0;100.0;100.0
320;100.0;100.0;100.0;100.0;100.0
340;100.0;100.0;100.0;100.0;100.0
360;100.0;100.0;100.0;100.0;100.0
380;99.9;100.0;100.0;100.0;100.0
400;99.9;100.0;100.0;100.0;100.0
420;99.9;100.0;100.0;100.0;100.0
440;99.9;100.0;100.0;100.0;100.0
460;99.8;100.0;100.0;100.0;100.0
480;99.8;100.0;100.0;100.0;100.0
500;99.8;100.0;100.0;100.0;100.0
520;99.8;100.0;100.0;100.0;100.0
540;99.7;100.0;100.0;100.0;100.0
560;99.7;100.0;100.0;100.0;100.0
580;99.6;99.9;100.0;100.0;100.0
600;99.6;99.9;100.0;100.0;100.0
620;99.6;99.9;100.0;100.0;100.0
640;99.5;99.9;100.0;100.0;100.0
660;99.5;99.8;100.0;100.0;100.0
680;99.4;99.8;100.0;100.0;100.0
700;99.3;99.8;100.0;100.0;100.0
720;99.2;99.8;100.0;100.0;100.0
740;99.2;99.7;100.0;100.0;100.0
760;99.1;99.7;100.0;100.0;100.0
780;99.1;99.6;99.9;100.0;100.0
800;99.0;99.6;99.9;100.0;100.0
820;98.9;99.6;99.9;100.0;100.0
840;98.8;99.5;99.9;100.0;100.0
860;98.8;99.4;99.8;100.0;100.0
880;98.7;99.4;99.8;100.0;100.0
900;98.7;99.3;99.8;100.0;100.0
920;98.5;99.3;99.8;100.0;100.0
940;98.3;99.2;99.7;100.0;100.0
960;98.1;99.1;99.7;100.0;100.0
980;97.9;99.1;99.6;99.9;100.0
1000;97.6;99.0;99.6;99.9;100.0
1020;97.2;99.0;99.6;99.9;100.0
1040;96.8;98.9;99.5;99.9;100.0
1060;96.4;98.7;99.5;99.8;100.0
1080;96.2;98.6;99.4;99.8;100.0
1100;95.9;98.5;99.3;99.8;100.0
1120;95.4;98.2;99.2;99.8;100.0
1140;94.9;98.0;99.2;99.7;100.0
1160;94.5;97.7;99.1;99.7;100.0
1180;94.2;97.5;99.0;99.6;99.9
1200;93.7;97.3;99.0;99.6;99.9
1220;93.1;96.9;98.8;99.6;99.9
1240;92.5;96.5;98.7;99.5;99.9
1260;92.0;96.1;98.6;99.4;99.8
1280;91.4;95.7;98.5;99.3;99.8
1300;90.9;95.4;98.4;99.3;99.8
1320;90.2;94.9;97.7;99.2;99.8
1340;89.6;94.4;97.5;99.2;99.7
1360;89.0;93.9;97.3;99.1;99.7
1380;88.4;93.4;97.1;99.1;99.6
1400;87.8;92.9;96.9;99.0;99.6
1420;87.1;92.3;96.4;98.8;99.6
1440;86.4;91.7;96.0;98.6;99.5
1460;85.7;91.1;95.5;98.5;99.4
1480;85.0;90.5;95.1;98.3;99.4
1500;84.3;90.0;94.7;98.2;99.3
1520;83.5;89.3;94.1;97.8;99.3
1540;82.8;88.6;93.6;97.4;99.2
1560;82.1;88.0;93.0;97.1;99.1
1580;81.3;87.3;92.5;96.7;99.1
1600;80.6;86.7;92.0;96.4;99.0
1620;79.9;86.0;91.4;96.0;98.9
1640;79.1;85.3;90.8;95.5;98.8
1660;78.4;84.6;90.2;95.0;98.5
1680;77.6;83.9;89.6;94.5;98.3
1700;76.8;83.2;88.9;94.0;97.9
1720;76.1;82.4;88.3;93.4;97.6
1740;75.3;81.7;87.6;92.8;97.2
1760;74.5;81.0;86.9;92.3;96.8
1780;73.8;80.2;86.2;91.7;96.3
1800;73.0;79.5;85.5;91.0;95.8
1820;72.2;78.7;84.8;90.4;95.3
1840;71.5;78.0;84.1;89.8;94.8
1860;70.7;77.3;83.4;89.1;94.2
1880;69.9;76.5;82.7;88.5;93.7
